country,ticker,name,isin,status,n_quarters,first,last
IT,GTT,"GTT Communications, Inc.",IT0001029492,ok,35,2011-06-30,2020-03-31
NL,SEV,"SEVCON, INC.",NL0015000N74,ok,25,2011-06-30,2017-06-30
DK,NKT.CO,NKT A/S,DK0010287663,ok,31,2012-03-31,2019-09-30
IE,ICLR,ICON PLC,IE0005711209,ok,14,2011-12-31,2024-12-31
NL,QGEN,QIAGEN N.V.,NL0012169213,ok,15,2011-12-31,2025-12-31
CH,SOPH,SOPHiA GENETICS SA,CH1125843347,ok,6,2020-12-31,2025-12-31
NL,RACE,Ferrari N.V.,NL0011585146,ok,12,2014-12-31,2025-12-31
NL,STLA,Stellantis N.V.,NL00150001Q9,ok,12,2014-12-31,2025-12-31
NL,YNDX,Yandex N.V.,NL0009805522,ok,14,2011-12-31,2024-12-31
NL,CNTG,Centogene N.V.,NL0014040206,ok,6,2018-12-31,2023-12-31
DE,BAYN.DE,Bayer,DE000BAY0017,ok,43,2011-06-30,2021-12-31
DE,SAP.DE,SAP,DE0007164600,ok,43,2011-06-30,2021-12-31
DE,BMW.DE,BMW Group,DE0005190003,ok,43,2011-06-30,2021-12-31
DE,ADS.DE,adidas Group,DE000A1EWWW0,ok,43,2011-06-30,2021-12-31
DE,ALV.DE,Allianz SE,DE0008404005,ok,31,2011-06-30,2021-12-31
DE,RWE.DE,RWE,DE0007037129,ok,42,2011-06-30,2021-12-31
DE,GLJ.DE,Grenke AG,DE000A161N30,ok,33,2011-06-30,2019-06-30
GB,AY,Atlantica Sustainable Infrastructure plc,GB00BLP5YB54,ok,36,2011-12-31,2021-12-31
NL,LILM,Lilium N.V.,NL0015000F41,error,0,,
NL,ESTC,Elastic N.V.,NL0013056914,ok,31,2018-04-30,2026-01-31
IE,MDT,Medtronic plc,IE00BTN1Y115,ok,46,2014-04-30,2026-01-31
IE,ACN,Accenture plc,IE00B4BNMY34,ok,60,2011-05-31,2026-02-28
DE,SIE.DE,Siemens,DE0007236101,ok,43,2011-06-30,2021-12-31
DE,EOAN.DE,E.ON,DE000ENAG999,ok,43,2011-06-30,2021-12-31
DE,IFX.DE,Infineon,DE0006231004,ok,31,2011-06-30,2021-09-30
DE,DTE.DE,Deutsche Telekom,DE0005557508,ok,43,2011-06-30,2021-12-31
DE,MRK.DE,Merck Group,DE0006599905,ok,33,2013-12-31,2021-12-31
DE,MTX.DE,MTU Aero Engines,DE000A0D9PT0,ok,30,2011-09-30,2021-12-31
DE,MUV2.DE,Munich Re,DE0008430026,ok,16,2014-12-31,2021-12-31
DE,DWNI.DE,Deutsche Wohnen,DE000A0HN5C6,ok,6,2019-12-31,2021-03-31
IE,PNR,PENTAIR plc,IE00BLS09M33,ok,59,2011-06-30,2025-12-31
NL,NXPI,NXP Semiconductors N.V.,NL0009538784,ok,27,2018-12-31,2025-12-31
CH,GRMN,GARMIN LTD,CH0114405324,ok,59,2011-06-30,2025-12-31
IE,ALKS,Alkermes PLC,IE00B56GVS15,ok,56,2011-12-31,2025-12-31
CH,LOGI,LOGITECH INTERNATIONAL SA,CH0025751329,ok,59,2011-06-30,2025-12-31
IE,LIN,LINDE PLC,IE00BZ12WP82,ok,30,2017-12-31,2025-12-31
IE,WFRD,Weatherford International plc,IE00BLNN3691,ok,48,2013-12-31,2025-12-31
GB,LBTYA,Liberty Global plc,GB00B8W67662,ok,52,2012-12-31,2025-12-31
IE,ALLE,Allegion plc,IE00BFRT3W74,ok,50,2012-12-31,2025-12-31
IE,WTW,Willis Towers Watson,IE00BDB6Q211,ok,58,2011-06-30,2025-12-31
IE,AON,Aon plc,IE00BLP1HW54,ok,59,2011-06-30,2025-12-31
CH,CB,Chubb Limited,CH0044328745,ok,59,2011-06-30,2025-12-31
GB,FTI,TechnipFMC plc,GB00BDSFG982,ok,37,2016-12-31,2025-12-31
IE,NVT,nVent Electric plc,IE00BDVJJQ56,ok,33,2017-12-31,2025-12-31
IE,JAZZ,Jazz Pharmaceuticals plc,IE00B4Q5ZN47,ok,59,2011-06-30,2025-12-31
GB,LIVN,LivaNova PLC,GB00BYMT0J19,ok,44,2014-12-31,2025-12-31
